Head class id,Head class,Intra class no.,Fine Class,Set
2,Bouncing,4,Single object imitating the motion of bouncing against a wall,2
2,Bouncing,6,Single object bouncing on a plain surface perpetually,2
2,Bouncing,8,Single object imitating the motion of bouncing and going up stairs,2
3,Changing color,4,Single object changing from dark to bright color,2
3,Changing color,5,Single object changing color then returning to previous one,2
4,Changing shape,3,Single object of other shape changes into sphere,2
4,Changing shape,4,Single object of other shape changes into cylinder,2
4,Changing shape,6,Single object changing into another shape then turning back to original shape,2
5,Cloning,2,Single object cloning into two identical objects both going in different directions,2
5,Cloning,4,Single object cloning into multiple identical objects at once,2
6,Departing,3,Multiple objects departing one by one,2
6,Departing,4,Single object departing among many objects,2
6,Departing,6,"Single object departing beside another single object, then coming back shortly",2
7,Disappearing,3,Multiple objects all disappearing one by one by decreasing opacity,2
7,Disappearing,4,Multiple objects some disappearing and some remaining,2
8,Expanding,2,Small single object expanding into large object,2
8,Expanding,4,Two same small objects expanding into different bigger sizes,2
9,Falling,3,Single object falling at an angle,2
9,Falling,4,Single object falling at a curved path,2
10,Following,4,Single object following another object all the time in a complex path,2
10,Following,5,Single object not following another object at first but later starts following,2
11,Merging,2,Faster object merging with slower object into one similar sized object while moving in same direction,2
11,Merging,4,Multiple objects merging into multiple big objects,2
12,Moving in a path,2,Single object moving quickly from one position to another and stopping,2
12,Moving in a path,4,Two objects moving and switching their positions,2
12,Moving in a path,6,Single object moving from right to left,2
13,Not colliding,4,Two objects moving in opposite directions in circular path but not colliding later,2
13,Not colliding,5,One object moving towards multiple stationary objects but not colliding,2
14,Occlusion,2,Big object coming infront of small object mostly or fully occluding it,2
14,Occlusion,4,Two objects partially occluding two other objects switch positions with the latter two and go behind them,2
15,Orbiting,2,Single object orbiting another object in the center in counter clockwise direction on horizontal plane,2
15,Orbiting,4,Single object orbiting another object in clockwise direction then second object orbitting first object in clockwise direction on horizontal plane,2
15,Orbiting,6,Single object orbiting another object in the center in counter clockwise direction on vertical plane,2
16,Rising,3,Single object rising at an angle,2
16,Rising,4,Single object rising at a curved path,2
17,Shooting projectile,3,Shooting projectile from left corner to right corner,2
17,Shooting projectile,5,Shooting two projectiles from opposite corners switching their positions,2
18,Shrinking,2,Large single object shrinking into very small object,2
18,Shrinking,4,Two different large objects shrinking into different smaller sizes,2
19,Teleporting,4,Four objects in four corners switch places by teleporting,2
19,Teleporting,5,Two objects together in one corner then one teleports to other corner,2
